DCID,Field,URL,Status_Code,Message,Is_404
dc/base/ACSED5YrSurvey,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/ACSED5YrSurvey_StatVarAgg,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/Argentina_Census,dataset.source.url,https://www.indec.gob.ar,200,OK,No
dc/base/AustraliaStatistics,dataset.source.url,https://www.abs.gov.au/,200,OK,No
dc/base/BEAGDPPriceParity,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BEAGDPv2,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BEA_USStatesQuarterlyGDP,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BIS_CentralBankPolicyRate,dataset.source.url,https://data.bis.org/,200,OK,No
dc/base/BLS_CES,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CES_State,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPI,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPI_Category,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_JOLTS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_LAUS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_QCEW,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/Brazil_Census,dataset.source.url,https://www.ibge.gov.br/en/home-eng.html,0,URL Error timed out,No
dc/base/Brazil_FoodDsitribution,dataset.source.url,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas,200,OK,No
dc/base/Brazil_RuralDevelopmentProgram,dataset.source.url,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas,200,OK,No
dc/base/Brazil_SIDRA_IBGE,dataset.source.url,https://www.ibge.gov.br/en/home-eng.html,0,URL Error timed out,No
dc/base/Bulgaria_Census,dataset.source.url,https://www.nsi.bg/,403,HTTP Error 403,No
dc/base/CBECS_Energy,dataset.source.url,https://www.eia.gov/,0,The read operation timed out,No
dc/base/CDC500,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDC500_States,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDCDiabetes,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDCMortality,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDCPM25,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDCWonderNatality,dataset.source.url,https://www.cdc.gov/,200,OK,No
dc/base/CDCWonder_NNDSS_InfectiousAnnual,dataset.source.url,https://www.cdc.gov/,200,OK,No
