DCID,Field,URL,Status_Code,Message,Is_404
dc/base/ACSED5YrSurvey,prov_url,https://nces.ed.gov/programs/edge/Demographic/ACS,0,URL Error timed out,No
dc/base/ACSED5YrSurvey,sourceDataUrl,https://nces.ed.gov/programs/edge/Demographic/ACS,0,URL Error timed out,No
dc/base/ACSED5YrSurvey,dataset.url,https://nces.ed.gov/programs/edge/demographic/acs,0,URL Error timed out,No
dc/base/ACSED5YrSurvey,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/ACSED5YrSurvey_StatVarAgg,prov_url,https://nces.ed.gov/programs/edge/Demographic/ACS,0,URL Error timed out,No
dc/base/ACSED5YrSurvey_StatVarAgg,dataset.url,https://nces.ed.gov/programs/edge/demographic/acs,0,URL Error timed out,No
dc/base/ACSED5YrSurvey_StatVarAgg,dataset.source.url,https://www.census.gov/,200,OK,No
dc/base/Argentina_Census,prov_url,https://www.indec.gob.ar,200,OK,No
dc/base/Argentina_Census,sourceDataUrl,https://www.indec.gob.ar/indec/web/Nivel4-Tema-2-24-84,200,OK,No
dc/base/Argentina_Census,dataset.url,https://www.indec.gob.ar,200,OK,No
dc/base/Argentina_Census,dataset.source.url,https://www.indec.gob.ar,200,OK,No
dc/base/AustraliaStatistics,prov_url,https://www.abs.gov.au/statistics,200,OK,No
dc/base/AustraliaStatistics,dataset.url,https://www.abs.gov.au/statistics,200,OK,No
dc/base/AustraliaStatistics,dataset.source.url,https://www.abs.gov.au/,200,OK,No
dc/base/BEAGDPPriceParity,prov_url,https://www.bea.gov/data,200,OK,No
dc/base/BEAGDPPriceParity,dataset.url,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,200,OK,No
dc/base/BEAGDPPriceParity,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BEAGDPv2,prov_url,https://www.bea.gov/,200,OK,No
dc/base/BEAGDPv2,sourceDataUrl,https://apps.bea.gov/regional/zip/CAGDP9.zip,200,OK,No
dc/base/BEAGDPv2,dataset.url,https://apps.bea.gov/regional,200,OK,No
dc/base/BEAGDPv2,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BEA_USStatesQuarterlyGDP,prov_url,https://www.bea.gov/data/gdp/gdp-state,200,OK,No
dc/base/BEA_USStatesQuarterlyGDP,sourceDataUrl,https://www.bea.gov/data/gdp/gdp-state,200,OK,No
dc/base/BEA_USStatesQuarterlyGDP,dataset.url,https://www.bea.gov/data/gdp,200,OK,No
dc/base/BEA_USStatesQuarterlyGDP,dataset.source.url,https://www.bea.gov/,200,OK,No
dc/base/BIS_CentralBankPolicyRate,prov_url,https://data.bis.org/topics/CBPOL/data,200,OK,No
dc/base/BIS_CentralBankPolicyRate,sourceDataUrl,https://data.bis.org/topics/CBPOL/data,200,OK,No
dc/base/BIS_CentralBankPolicyRate,dataset.url,https://data.bis.org/topics/CBPOL,200,OK,No
dc/base/BIS_CentralBankPolicyRate,dataset.source.url,https://data.bis.org/,200,OK,No
dc/base/BLS_CES,prov_url,https://www.bls.gov/ces/,403,HTTP Error 403,No
dc/base/BLS_CES,sourceDataUrl,https://www.bls.gov/webapps/legacy/cesbtab1.htm,403,HTTP Error 403,No
dc/base/BLS_CES,dataset.url,https://www.bls.gov/ces,403,HTTP Error 403,No
dc/base/BLS_CES,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CES_State,prov_url,https://www.bls.gov/sae/overview.htm,403,HTTP Error 403,No
dc/base/BLS_CES_State,sourceDataUrl,https://download.bls.gov/pub/time.series/sm/,403,HTTP Error 403,No
dc/base/BLS_CES_State,dataset.url,https://www.bls.gov/ces,403,HTTP Error 403,No
dc/base/BLS_CES_State,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPI,prov_url,https://www.bls.gov/cpi/,403,HTTP Error 403,No
dc/base/BLS_CPI,sourceDataUrl,https://download.bls.gov/pub/time.series/cu/cu.data.1.AllItems,403,HTTP Error 403,No
dc/base/BLS_CPI,dataset.url,https://www.bls.gov/cpi,403,HTTP Error 403,No
dc/base/BLS_CPI,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPI_Category,prov_url,https://www.bls.gov/cpi/,403,HTTP Error 403,No
dc/base/BLS_CPI_Category,sourceDataUrl,https://www.bls.gov/cpi/tables/supplemental-files/,403,HTTP Error 403,No
dc/base/BLS_CPI_Category,dataset.url,https://www.bls.gov/cpi/tables/supplemental-files/,403,HTTP Error 403,No
dc/base/BLS_CPI_Category,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_CPS,prov_url,https://www.bls.gov/cps/,403,HTTP Error 403,No
dc/base/BLS_CPS,sourceDataUrl,https://download.bls.gov/pub/time.series/ln/ln.data.1.AllData,403,HTTP Error 403,No
dc/base/BLS_CPS,dataset.url,https://www.bls.gov/cps,403,HTTP Error 403,No
dc/base/BLS_CPS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_JOLTS,prov_url,https://www.bls.gov/jlt/,403,HTTP Error 403,No
dc/base/BLS_JOLTS,sourceDataUrl,https://download.bls.gov/pub/time.series/jt/,403,HTTP Error 403,No
dc/base/BLS_JOLTS,dataset.url,https://www.bls.gov/jlt/,403,HTTP Error 403,No
dc/base/BLS_JOLTS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_LAUS,prov_url,https://www.bls.gov/lau/,403,HTTP Error 403,No
dc/base/BLS_LAUS,sourceDataUrl,https://download.bls.gov/pub/time.series/la,403,HTTP Error 403,No
dc/base/BLS_LAUS,dataset.url,https://www.bls.gov/lau/,403,HTTP Error 403,No
dc/base/BLS_LAUS,dataset.source.url,https://www.bls.gov/,403,HTTP Error 403,No
dc/base/BLS_QCEW,prov_url,https://www.bls.gov/qcew/,403,HTTP Error 403,No
dc/base/BLS_QCEW,sourceDataUrl,https://data.bls.gov/cew/doc/titles/industry/industry_titles.htm,200,OK,No
