l,Prov_category,provenance_url,dataset_url,source_url,Licence Category,License URL,
dc/base/ACSED5YrSurvey,StatisticsProvenance,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/demographic/acs,https://www.census.gov/,PublicDomain,https://ies.ed.gov/accessibility-statement,
dc/base/AustraliaGeoCoordinates,PlaceProvenance,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,https://maps.abs.gov.au/,https://www.abs.gov.au/,Creative Commons Attribution License,https://www.abs.gov.au/website-privacy-copyright-and-disclaimer#copyright-and-creative-commons,
dc/base/AutoGeneratedStatVars,GeneratedStatvarProvenance,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/BEAGDPPriceParity,StatisticsProvenance,https://www.bea.gov/data,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,https://www.bea.gov/,PublicDomain,https://www.bea.gov/about/policies-and-information,
dc/base/BaseGeos,PlaceProvenance,https://www.census.gov/geographies/reference-files.html,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/section-508.html,
dc/base/BaseSchema,SchemaProvenance,https://datacommons.org,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/Brazil_FoodDsitribution,StatisticsProvenance,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas,Creative Commons Attribution-NoDerivatives 3.0 Unported,https://www.gov.br/mds/pt-br/pt-br/acesso-a-informacao/participacao-social/fale-conosco,
dc/base/Brazil_RuralDevelopmentProgram,StatisticsProvenance,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas,Creative Commons Attribution-NoDerivatives 3.0 Unported,https://www.gov.br/mds/pt-br/pt-br/acesso-a-informacao/participacao-social/fale-conosco,
dc/base/CBECS_Energy,StatisticsProvenance,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,https://www.eia.gov/consumption/commercial/,https://www.eia.gov/,PublicDomain,https://www.eia.gov/about/copyrights_reuse.php,
dc/base/CDCPM25,StatisticsProvenance,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22,https://www.cdc.gov/,PublicDomain,https://www.cdc.gov/other/agencymaterials.html,
dc/base/CaliforniaSchoolPerformance,StatisticsProvenance,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/,PublicDomain,https://www.ca.gov/legal/conditions-of-use/,
dc/base/Canada_Census_Places,PlaceProvenance,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/index2021-eng.cfm?year=21,https://www150.statcan.gc.ca/n1/en/type/data?MM=1,https://www.statcan.gc.ca/en/start,Open Government Licence – Canada (OGL-C),https://open.canada.ca/en/open-government-licence-canada,
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,StatisticsProvenance,https://data.census.gov/table/ACSDT5Y2022.B25031,https://www.census.gov/programs-surveys/acs,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/citation.html,
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,StatisticsProvenance,https://data.census.gov/api/access/table/download,https://www.census.gov/programs-surveys/economic-census/about.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies/citation.html,
dc/base/Company_FIGI,EntityProvenance,https://www.openfigi.com/,https://www.openfigi.com/,https://www.openfigi.com/,PublicDomain,https://www.openfigi.com/docs/terms-of-service,
dc/base/Cotedivoire_Census,StatisticsProvenance,https://cotedivoire.opendataforafrica.org/,https://cotedivoire.opendataforafrica.org/,https://dataportal.opendataforafrica.org/,Creative Commons Attribution 4.0 License,https://dataportal.opendataforafrica.org/tzucfxc,
dc/base/CycloneNOAA_Entities,EntityProvenance,https://www.ncei.noaa.gov/products/international-best-track-archive,https://www.ncdc.noaa.gov/ibtracs/index.php?name=ib-v4-access,https://www.noaa.gov/,PublicDomain,https://www.noaa.gov/accessibility,
dc/base/CycloneNOAA_Paths,EntityProvenance,https://www.ncei.noaa.gov/products/international-best-track-archive,https://www.ncdc.noaa.gov/ibtracs/index.php?name=ib-v4-access,https://www.noaa.gov/,PublicDomain,https://www.noaa.gov/accessibility,
dc/base/DEA_DrugCodes,EntityProvenance,https://www.deadiversion.usdoj.gov/21cfr/cfr/2108cfrt.htm,,,PublicDomain,https://www.justice.gov/legalpolicies,
dc/base/DynamicWorld_FloodEvents_AutoRefresh,EntityProvenance,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,Creative Commons Attribution 4.0 License,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1#terms-of-use,
dc/base/EIA860_PowerPlants,PlaceProvenance,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/,PublicDomain,https://www.eia.gov/about/copyrights_reuse.php,
dc/base/EIA860_Utilities,PlaceProvenance,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/,PublicDomain,https://www.eia.gov/about/copyrights_reuse.php,
dc/base/EIA_860,PlaceProvenance,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/,PublicDomain,https://www.eia.gov/about/copyrights_reuse.php,
dc/base/EPACriteriaAirPollutants_Stations,PlaceProvenance,https://aqs.epa.gov/aqsweb/airdata/download_files.html,https://www.epa.gov/outdoor-air-quality-data,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EPA_GHGRPFacilities,PlaceProvenance,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EPA_GHGRP_ParentCompanies_Ownership,StatisticsProvenance,https://www.epa.gov/ghgreporting,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EPA_ParentCompanies,PlaceProvenance,https://www.epa.gov/ghgreporting,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EPA_Superfund_Measurement_Sites,PlaceProvenance,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.scs&id=0601269&doc=Y&colid=33990&region=06&type=SC,https://www.epa.gov/superfund,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EPA_Superfund_Sites,PlaceProvenance,https://epa.maps.arcgis.com/apps/webappviewer/index.html?id=33cebcdfdd1b4c3a8b51d416956c41f1,https://www.epa.gov/superfund,https://www.epa.gov/,PublicDomain,https://www.epa.gov/web-policies-and-procedures/epa-disclaimers,
dc/base/EuroGeos,PlaceProvenance,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,https://ec.europa.eu/eurostat/,https://ec.europa.eu/eurostat,Creative Commons Attribution 4.0 License,https://commission.europa.eu/legal-notice_en,
dc/base/EurostatGeoCoodinates,PlaceProvenance,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,https://ec.europa.eu/eurostat/,https://ec.europa.eu/eurostat,Creative Commons Attribution 4.0 License,https://commission.europa.eu/legal-notice_en,
