dcid,prov_url,sourceDataUrl,dataset_url,source_url
dc/base/ACSED5YrSurvey,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/demographic/acs,https://www.census.gov/
dc/base/ACSED5YrSurvey_StatVarAgg,https://nces.ed.gov/programs/edge/Demographic/ACS,,https://nces.ed.gov/programs/edge/demographic/acs,https://www.census.gov/
dc/base/AustraliaGeoCoordinates,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files,,https://maps.abs.gov.au/,https://www.abs.gov.au/
dc/base/AutoGeneratedStatVars,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/BEAGDPPriceParity,https://www.bea.gov/data,,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,https://www.bea.gov/
dc/base/BaseGeos,https://www.census.gov/geographies/reference-files.html,,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,https://www.census.gov/
dc/base/BaseSchema,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/Brazil_FoodDsitribution,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas
dc/base/Brazil_RuralDevelopmentProgram,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas
dc/base/CBECS_Energy,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,,https://www.eia.gov/consumption/commercial/,https://www.eia.gov/
dc/base/CDCPM25,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9,,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22,https://www.cdc.gov/
dc/base/CaliforniaSchoolPerformance,https://caaspp-elpac.ets.org/elpac/,,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/
dc/base/Canada_Census_Places,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/index2021-eng.cfm?year=21,,https://www150.statcan.gc.ca/n1/en/type/data?MM=1,https://www.statcan.gc.ca/en/start
dc/base/CensusACS5YearSurvey_SubjectTables_S0801_StatVarAgg,https://data.census.gov/table/ACSST5Y2023.S0801,,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S0804_StatVarAgg,https://data.census.gov/table/ACSST5Y2022.S0804,,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S1201_StatVarAgg,https://data.census.gov/cedsci/table?q=S1201&tid=ACSST5Y2019.S1201,,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S2408_StatVarAgg,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,https://data.census.gov/table/ACSDT5Y2022.B25031,,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusSAHIE_AggCountry,https://www.census.gov/programs-surveys/sahie.html,,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html,https://www.census.gov/
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,https://data.census.gov/api/access/table/download,,https://www.census.gov/programs-surveys/economic-census/about.html,https://www.census.gov/
dc/base/Climate_StatVarCalculation,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/Company_FIGI,https://www.openfigi.com/,,https://www.openfigi.com/,https://www.openfigi.com/
