dcid,prov_url,sourceDataUrl,dataset_url,source_url
dc/base/ACSED5YrSurvey,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/demographic/acs,https://www.census.gov/
dc/base/ACSED5YrSurvey_StatVarAgg,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/Demographic/ACS,https://nces.ed.gov/programs/edge/demographic/acs,https://www.census.gov/
dc/base/BEAGDPPriceParity,https://www.bea.gov/data,https://www.bea.gov/data,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,https://www.bea.gov/
dc/base/Brazil_FoodDsitribution,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas
dc/base/Brazil_RuralDevelopmentProgram,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,https://www.gov.br/mds/pt-br/pt-br/servicos/sistemas
dc/base/CBECS_Energy,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,https://www.eia.gov/consumption/commercial/data/2012/index.php?view=consumption,https://www.eia.gov/consumption/commercial/,https://www.eia.gov/
dc/base/CDCPM25,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22,https://www.cdc.gov/
dc/base/CaliforniaSchoolPerformance,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/,https://caaspp-elpac.ets.org/elpac/
dc/base/CensusACS5YearSurvey_SubjectTables_S0801_StatVarAgg,https://data.census.gov/table/ACSST5Y2023.S0801,https://data.census.gov/table/ACSST5Y2023.S0801,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S0804_StatVarAgg,https://data.census.gov/table/ACSST5Y2022.S0804,https://data.census.gov/table/ACSST5Y2022.S0804,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S1201_StatVarAgg,https://data.census.gov/cedsci/table?q=S1201&tid=ACSST5Y2019.S1201,https://data.census.gov/cedsci/table?q=S1201&tid=ACSST5Y2019.S1201,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACS5YearSurvey_SubjectTables_S2408_StatVarAgg,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,https://data.census.gov/cedsci/table?q=S2408&tid=ACSST5Y2023.S2408,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusACSBtable5YearSurvey_Btable_B25031,https://data.census.gov/table/ACSDT5Y2022.B25031,https://data.census.gov/table/ACSDT5Y2022.B25031,https://www.census.gov/programs-surveys/acs,https://www.census.gov/
dc/base/CensusSAHIE_AggCountry,https://www.census.gov/programs-surveys/sahie.html,https://www.census.gov/programs-surveys/sahie.html,https://www.census.gov/data/datasets/time-series/demo/sahie/estimates-acs.html,https://www.census.gov/
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,https://data.census.gov/api/access/table/download,https://data.census.gov/api/access/table/download,https://www.census.gov/programs-surveys/economic-census/about.html,https://www.census.gov/
dc/base/Climate_StatVarCalculation,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/
dc/base/Cotedivoire_Census,https://cotedivoire.opendataforafrica.org/,https://cotedivoire.opendataforafrica.org/,https://cotedivoire.opendataforafrica.org/,https://dataportal.opendataforafrica.org/
dc/base/DataCommons_CoverageStats,https://datacommons.org,https://datacommons.org,https://datacommons.org/,https://datacommons.org/
dc/base/EPA_EJSCREEN_AggCensusTract,https://zenodo.org/records/14767363,https://zenodo.org/records/14767363,https://www.epa.gov/ejscreen,https://www.epa.gov/
dc/base/EPA_EJSCREEN_AggCensusTract_AggCounty,https://zenodo.org/records/14767363,https://zenodo.org/records/14767363,https://www.epa.gov/ejscreen,https://www.epa.gov/
dc/base/EPA_GHGRP_ParentCompanies_Ownership,https://enviro.epa.gov/enviro/ef_metadata_html.ef_metadata_table?p_table_name=V_PARENT_COMPANY_INFO,https://enviro.epa.gov/enviro/ef_metadata_html.ef_metadata_table?p_table_name=V_PARENT_COMPANY_INFO,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/
dc/base/Energy_StatVarCalculation,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/
dc/base/Eurostat_Early_Education_Training,https://ec.europa.eu/eurostat/databrowser/view/sdg_04_30__custom_7874475/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/sdg_04_30__custom_7874475/default/table?lang=en,https://ec.europa.eu/eurostat/web/education-and-training/database,https://ec.europa.eu/eurostat
dc/base/FAO_Currency,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/
